name,address,price,category,rating,url
볼트 스테이크하우스,"강남구 압구정로 72길 22, 2층, Seoul, 06015, 한국",₩₩₩₩ (고가),스테이크하우스,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/vault-steakhouse
서울 다이닝,"중구 동호로 272, 디자인하우스 2층, Seoul, 04617, 한국",₩₩ (보통),컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/seoul-dining
기와강,"강남구 논현로 152길 9, 4층, Seoul, 한국",₩₩₩₩ (고가),코리안 컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/giwakang
현우동,"강남구 논현로 149길 53, Seoul, 06039, 한국",₩ (저렴),우동,"Bib Gourmand, Small Shop",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hyun-udon
테판,"용산구 소월로 322, 그랜드 하얏트 호텔 지하 1층, Seoul, 04347, 한국",₩₩₩ (다소 고가),테판야키,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/teppan
팀호완,"강남구 봉은사로 86길 30, Seoul, 06165, 한국",₩ (저렴),딤섬,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tim-ho-wan
온,"강남구 도산대로 92길 42, 지하 1층, Seoul, 06070, 한국",₩₩₩ (다소 고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/on565623
일드청담,"강남구 도산대로 59길 13, 2층, Seoul, 06016, 한국",₩₩₩₩ (고가),컨템퍼러리,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/ile-de-cheongdam
소울,"용산구 신흥로 26길 35, 지하 1층, Seoul, 04337, 한국",₩₩₩ (다소 고가),컨템퍼러리,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/soul-dining
강민철 레스토랑,"강남구 도산대로 63길 18, 5층, Seoul, 06064, 한국",₩₩₩₩ (고가),프렌치 컨템퍼러리,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/kang-minchul-restaurant
에쌍스,"서초구 반포대로 4길 12, Seoul, 06719, 한국",₩₩ (보통),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/essence-1207862
정인면옥,"영등포구 국회대로 76길 10, Seoul, 07238, 한국",₩ (저렴),냉면,Bib Gourmand,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jungin-myeonok
익스퀴진,"강남구 삼성로 140길 6, Seoul, 06073, 한국",₩₩₩ (다소 고가),컨템퍼러리,1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/exquisine
마나오,"용산구 한남대로 21길 18, 2층, Seoul, 04401, 한국",₩₩ (보통),타이,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/manao
고료리 켄,"강남구 언주로 152길 15-3, 2층, Seoul, 06021, 한국",₩₩₩₩ (고가),"컨템퍼러리, 재패니즈 컨템퍼러리",1 Star,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/goryori-ken
피에르 가니에르,"중구 을지로 30, 롯데호텔 35층, Seoul, 04533, 한국",₩₩₩₩ (고가),프렌치,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pierre-gagnaire
미토우,"강남구 도산대로 70길 24, Seoul, 06064, 한국",₩₩₩₩ (고가),일식,2 Stars,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mitou
홍연,"중구 소공로 106, 웨스틴 조선 호텔 1층, Seoul, 04533, 한국",₩₩₩₩ (고가),중식,"0 Star, 추천 레스토랑",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hong-yuan
